fromArea,toArea,t
M,GU,22
M,TO,36
M,VL,54
M,ZA,74
M,AB,92
M,BU,96
M,SL,100
M,CO,106
M,VA,112
M,LE,118
M,LL,119
M,TA,119
M,AC,133
M,OU,133
M,OR,148
M,B,149
M,SE,153
M,ML,162
M,MU,165
M,IÑ,179
M,ST,181
M,CL,182
M,GZ,182
M,AS,186
M,LO,196
M,GI,198
M,GR,203
M,GD,207
M,CS,187
M,CÑ,213
M,SA,216
M,CA,227
M,VG,234
M,HU,237
M,JN,231
M,@C,271
M,BI,283
M,BD,263
M,DO,295
M,@N,318
M,FE,332
M,AG,373
M,@T,385
M,AL,397
M,@S,418
M,@A,438
M,@R,463
M,@M,478
B,TA,30
B,GI,38
B,LL,58
B,@C,81
B,ZA,83
B,MR,84
B,CL,118
B,@N,129
B,M,149
B,GU,164
B,VA,172
B,@T,185
B,@S,217
B,IÑ,234
B,LO,247
B,@A,249
B,@R,274
B,@M,289
B,CO,291
B,GZ,296
B,AC,317
B,SE,354
B,AB,359
B,ML,381
B,DO,381
B,BU,385
B,GR,386
B,@@,404
B,BI,411
B,OR,431
B,MU,460
B,LE,467
B,VL,473
B,CR,529
B,SL,541
B,OU,742
B,CA,775
B,ST,797
B,CÑ,829
B,VG,870
VA,CL,39
VA,GD,62
VA,M,113
VA,AB,121
VA,AC,128
VA,TA,136
VA,VL,185
VA,B,188
VA,OR,203
VA,CO,204
VA,BU,227
VA,MU,228
VA,GI,249
VA,SE,263
VA,LE,269
VA,CR,289
VA,ZA,296
VA,AS,339
VA,CA,537
SE,CO,41
SE,CA,47
SE,HU,82
SE,ML,119
SE,GR,150
SE,M,157
SE,GU,204
SE,JN,206
SE,ZA,234
SE,CS,250
SE,VA,269
SE,LL,277
SE,TA,303
SE,AB,324
SE,B,341
SE,CL,501
ML,CO,49
ML,GR,77
ML,SE,122
ML,M,164
ML,ZA,249
ML,AB,270
ML,LL,292
ML,TA,318
ML,AC,325
ML,B,356
ML,OR,375
ML,MU,392
BI,LO,151
BI,BU,152
BI,VL,200
BI,M,268
BI,ZA,269
BI,LL,336
BI,TA,370
BI,B,420
AS,LE,64
AS,VL,131
AS,M,188
AS,VA,334
AS,AB,336
AS,AC,395
AS,CL,400
ZA,LL,40
ZA,TA,54
ZA,GU,59
ZA,M,78
ZA,B,87
ZA,IÑ,110
ZA,LO,123
ZA,GI,140
ZA,GZ,175
ZA,CO,176
ZA,@C,186
ZA,@N,233
ZA,SE,242
ZA,DO,257
ZA,BU,264
ZA,ML,265
ZA,GR,273
ZA,BI,288
ZA,VA,298
ZA,@T,300
ZA,@S,333
ZA,LE,346
ZA,VL,352
ZA,@A,353
ZA,@R,378
ZA,@M,393
ZA,SL,420
ZA,AC,443
ZA,OR,520
ZA,MU,536
ZA,CR,597
ZA,OU,621
ZA,ST,676
ZA,CÑ,708
ZA,VG,749
AC,OR,13
AC,AB,47
AC,MU,30
AC,VA,115
AC,M,134
AC,CR,104
AC,CL,167
AC,VL,205
AC,TA,267
AC,LE,279
AC,OU,293
AC,CO,298
AC,B,314
AC,ML,361
AC,AS,390
AC,SA,414
AC,ZA,464
AC,BU,244
MU,OR,13
MU,AC,27
MU,CR,54
MU,AB,115
MU,M,163
MU,VA,224
MU,VL,234
MU,BU,273
MU,CL,292
MU,CO,361
MU,TA,405
MU,ML,424
MU,B,480
MU,ZA,549
CA,SE,47
CA,CO,108
CA,M,238
CA,JN,279
CA,AB,382
CA,VA,503
CA,CL,559
CA,TA,677
CA,B,723
VG,ST,37
VG,OU,69
VG,CÑ,69
VG,M,228
VG,LE,372
VG,BU,453
VG,GZ,544
VG,IÑ,602
VG,ZA,721
VG,LL,772
VG,TA,812
VG,B,855
GR,ML,84
GR,CO,92
GR,AL,161
GR,SE,161
GR,M,216
GR,ZA,263
GR,LL,313
GR,TA,341
GR,B,379
CÑ,ST,27
CÑ,OU,64
CÑ,VG,69
CÑ,FE,71
CÑ,M,213
CÑ,LE,347
CÑ,BU,428
CÑ,GZ,519
CÑ,IÑ,577
CÑ,ZA,696
CÑ,LL,747
CÑ,TA,787
CÑ,B,830
DO,GZ,109
DO,IÑ,118
DO,BU,189
DO,VL,231
DO,ZA,244
DO,LL,296
DO,M,298
DO,TA,329
DO,B,367
VL,BU,37
VL,M,54
VL,LE,59
VL,SL,66
VL,GZ,121
VL,AS,130
VL,SA,152
VL,AB,167
VL,VA,186
VL,AC,217
VL,BI,217
VL,IÑ,228
VL,DO,234
VL,OR,235
VL,MU,252
